date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/ifmon.dll,TSK:/WINDOWS/$NtServicePackUninstall$/ifmon.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/ifmon.dll,13089,-,filestat,file_size: 135680; file_system_type: NTFS; is_allocated: True; sha256_hash: 0ee1eadc0d9eb6a7fdb1d30a6e6ce261e2a56083cfbca0354d7b02275ff926a4
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/ifmon.dll,TSK:/WINDOWS/system32/ifmon.dll Type: file,2,TSK:/WINDOWS/system32/ifmon.dll,19331,-,filestat,file_size: 135680; file_system_type: NTFS; is_allocated: True; sha256_hash: 5fa6c39c09605198487dc24baca1d766afc19cea56180e9561aee89a9177f4f2
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002330.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002330.dll,2580,-,filestat,file_size: 135680; file_system_type: NTFS; is_allocated: True; sha256_hash: 0ee1eadc0d9eb6a7fdb1d30a6e6ce261e2a56083cfbca0354d7b02275ff926a4
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001194.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001194.dll,8492,-,filestat,file_size: 135680; file_system_type: NTFS; is_allocated: True; sha256_hash: 0ee1eadc0d9eb6a7fdb1d30a6e6ce261e2a56083cfbca0354d7b02275ff926a4
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/lmhsvc.dll,TSK:/WINDOWS/$NtServicePackUninstall$/lmhsvc.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/lmhsvc.dll,12505,-,filestat,file_size: 13824; file_system_type: NTFS; is_allocated: True; sha256_hash: 8c02defd2f1a15740cd5421d20b3808bd27583019af1b79d087880a71807eee1
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/lmhsvc.dll,TSK:/WINDOWS/system32/lmhsvc.dll Type: file,2,TSK:/WINDOWS/system32/lmhsvc.dll,18523,-,filestat,file_size: 13824; file_system_type: NTFS; is_allocated: True; sha256_hash: edf4e039ba277b0e6d66feb0b28096e67d682c09dfc18ececf062d9dcfb75acf
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0003317.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0003317.dll,2164,-,filestat,file_size: 13824; file_system_type: NTFS; is_allocated: True; sha256_hash: 8c02defd2f1a15740cd5421d20b3808bd27583019af1b79d087880a71807eee1
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001004.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001004.dll,8741,-,filestat,file_size: 13824; file_system_type: NTFS; is_allocated: True; sha256_hash: 8c02defd2f1a15740cd5421d20b3808bd27583019af1b79d087880a71807eee1
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/mqad.dll,TSK:/WINDOWS/$NtServicePackUninstall$/mqad.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/mqad.dll,13852,-,filestat,file_size: 138240; file_system_type: NTFS; is_allocated: True; sha256_hash: 678ea7d445f0f4e97ea4911288ede2fb34680b20b0960b72909c429c515922e1
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/itss.dll,TSK:/WINDOWS/system32/itss.dll Type: file,2,TSK:/WINDOWS/system32/itss.dll,19291,-,filestat,file_size: 138240; file_system_type: NTFS; is_allocated: True; sha256_hash: 7ca1bd6123610617f128dc451d863e1c00aee82ed93cf574e284525683eb6527
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/mqad.dll,TSK:/WINDOWS/system32/mqad.dll Type: file,2,TSK:/WINDOWS/system32/mqad.dll,20072,-,filestat,file_size: 138240; file_system_type: NTFS; is_allocated: True; sha256_hash: c345a2d0ec0b864b1ce6b5eb901727444970f982bb8ff276f3e3a69c3a8cfc57
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002932.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002932.dll,2714,-,filestat,file_size: 138240; file_system_type: NTFS; is_allocated: True; sha256_hash: 678ea7d445f0f4e97ea4911288ede2fb34680b20b0960b72909c429c515922e1
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0000935.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0000935.dll,8858,-,filestat,file_size: 138240; file_system_type: NTFS; is_allocated: True; sha256_hash: 678ea7d445f0f4e97ea4911288ede2fb34680b20b0960b72909c429c515922e1
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/msvbvm60.dll,TSK:/WINDOWS/system32/msvbvm60.dll Type: file,2,TSK:/WINDOWS/system32/msvbvm60.dll,19130,-,filestat,file_size: 1384479; file_system_type: NTFS; is_allocated: True; sha256_hash: b18870f6f2471b0c3a2dafe28f74d3c4bb3fc4edf333e9f2a0909096c8453aed
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/ieakeng.dll,TSK:/WINDOWS/$NtServicePackUninstall$/ieakeng.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/ieakeng.dll,13096,-,filestat,file_size: 139264; file_system_type: NTFS; is_allocated: True; sha256_hash: 69c88c5f2572bdca6703553de0b4ca97b7c8367378a080e5116893a4d5bd924f
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002336.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002336.dll,2572,-,filestat,file_size: 139264; file_system_type: NTFS; is_allocated: True; sha256_hash: 69c88c5f2572bdca6703553de0b4ca97b7c8367378a080e5116893a4d5bd924f
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001204.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001204.dll,8480,-,filestat,file_size: 139264; file_system_type: NTFS; is_allocated: True; sha256_hash: 69c88c5f2572bdca6703553de0b4ca97b7c8367378a080e5116893a4d5bd924f
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/msvbvm60.dll,TSK:/WINDOWS/$NtServicePackUninstall$/msvbvm60.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/msvbvm60.dll,12910,-,filestat,file_size: 1392671; file_system_type: NTFS; is_allocated: True; sha256_hash: fa75a67b0d6a8829993397c3a893c182641a8c4806bb1e46553dbad7f7aaf5d4
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002171.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002171.dll,2772,-,filestat,file_size: 1392671; file_system_type: NTFS; is_allocated: True; sha256_hash: fa75a67b0d6a8829993397c3a893c182641a8c4806bb1e46553dbad7f7aaf5d4
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/dsprop.dll,TSK:/WINDOWS/$NtServicePackUninstall$/dsprop.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/dsprop.dll,13179,-,filestat,file_size: 142336; file_system_type: NTFS; is_allocated: True; sha256_hash: b0f43a0a9f31ee62f7dc8790b8ec04d7a11f6179955babfdc624ceb9331e7a4a
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002395.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002395.dll,2488,-,filestat,file_size: 142336; file_system_type: NTFS; is_allocated: True; sha256_hash: b0f43a0a9f31ee62f7dc8790b8ec04d7a11f6179955babfdc624ceb9331e7a4a
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001359.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001359.dll,8269,-,filestat,file_size: 142336; file_system_type: NTFS; is_allocated: True; sha256_hash: b0f43a0a9f31ee62f7dc8790b8ec04d7a11f6179955babfdc624ceb9331e7a4a
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/dsprop.dll,TSK:/WINDOWS/system32/dsprop.dll Type: file,2,TSK:/WINDOWS/system32/dsprop.dll,19408,-,filestat,file_size: 142848; file_system_type: NTFS; is_allocated: True; sha256_hash: 82859bad55a5c675cb712377113e95f9943bef802997ea64cf2d44b2290e6400
